outlet_code,outlet_name,slug,city,region,address,postal_code,phone,email,status,timezone,manager_name,manager_phone,manager_email,latitude,longitude,google_maps_url,location_status,location_source,confidence,provider,formatted_address,prep_minutes,notes,telegram_enabled,whatsapp_enabled,mon_fri_open,mon_fri_close,saturday_open,saturday_close,sunday_open,sunday_close
SMR-05,Selalu Teh - 21 Sambutan,selalu-teh-sambutan,Samarinda,Kalimantan Timur,"Jl. Sultan Alimuddin, Sambutan, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75251",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.5091102792,117.1662393,https://maps.app.goo.gl/Eom7bqc16zVQphZCA,VERIFIED,manual,high,manual,"Jl. Sultan Alimuddin, Sambutan, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75251",18,,TRUE,TRUE,19:00,9:00,19:00,10:00,19:00,9:00
SMR-06,Selalu Teh - 22 Ulin,selalu-teh-ulin,Samarinda,Kalimantan Timur,"Jl. Ulin, Karang Anyar, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.5065490317,117.1163376,https://maps.app.goo.gl/hBQuUubZtX59ii628,VERIFIED,manual,high,manual,"Jl. Ulin, Karang Anyar, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243",18,,TRUE,TRUE,20:00,10:00,20:00,11:00,20:00,10:00
SMR-07,Selalu Teh - 25 Perjuangan,selalu-teh-perjuangan,Samarinda,Kalimantan Timur,"Jl. Perjuangan, Sempaja Sel., Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75242",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4600932895,117.1560413,https://maps.app.goo.gl/fNiy8Mv8x5v11RjC8,VERIFIED,manual,high,manual,"Jl. Perjuangan, Sempaja Sel., Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75242",18,,TRUE,TRUE,21:00,11:00,21:00,12:00,21:00,11:00
SMR-08,Selalu Teh - 30 Biawan,selalu-teh-biawan,Samarinda,Kalimantan Timur,"Jl. Biawan No.8, Sidomulyo, Kec. Samarinda Ilir, Kota Samarinda, Kalimantan Timur 75242",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4967346872,117.1617592,https://maps.app.goo.gl/yk6XhgsENd7gdp3m6,VERIFIED,manual,high,manual,"Jl. Biawan No.8, Sidomulyo, Kec. Samarinda Ilir, Kota Samarinda, Kalimantan Timur 75242",18,,TRUE,TRUE,22:00,12:00,22:00,13:00,22:00,12:00
SMR-09,Selalu Teh - 32 Cendana,selalu-teh-cendana,Samarinda,Kalimantan Timur,"Jl. Cendana, Karang Anyar, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75127",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4972964461,117.1237752,https://maps.app.goo.gl/7FqDNnr3hU1HgA1s7,VERIFIED,manual,high,manual,"Jl. Cendana, Karang Anyar, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75127",18,,TRUE,TRUE,23:00,13:00,23:00,14:00,23:00,13:00
BPN-01,Selalu Teh - 33 Dr Sutomo,selalu-teh-dr-sutomo,Balikpapan,Kalimantan Timur,"Jl. DR. Sutomo No.5, Karang Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76122",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-1.245775422,116.8431745,https://maps.app.goo.gl/vKfHnnRJRvQsDsP17,VERIFIED,manual,high,manual,"Jl. DR. Sutomo No.5, Karang Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76122",18,,TRUE,TRUE,0:00,14:00,0:00,15:00,0:00,14:00
BPN-02,Selalu Teh - 34 Martadinata,selalu-teh-martadinata,Balikpapan,Kalimantan Timur,"Jl. RE Martadinata, Mekarsari, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76121",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-1.255619912,116.8384366,https://maps.app.goo.gl/h2cE9za1BhEwCvWh6,VERIFIED,manual,high,manual,"Jl. RE Martadinata, Mekarsari, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76121",18,,TRUE,TRUE,1:00,15:00,1:00,16:00,1:00,15:00
SMR-10,Selalu Teh - 35 Sentosa,selalu-teh-sentosa,Samarinda,Kalimantan Timur,"Jl. Sentosa, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4742849095,117.1693877,https://maps.app.goo.gl/CMfjvA5pfUMTShkK6,VERIFIED,manual,high,manual,"Jl. Sentosa, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242",18,,TRUE,TRUE,2:00,16:00,2:00,17:00,2:00,16:00
SMR-11,Selalu Teh - 36 Indrakila,selalu-teh-indrakila,Samarinda,Kalimantan Timur,"Jl. Indrakila, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-1.234297256,116.8520652,https://maps.app.goo.gl/6ufjx4YQSYxfHC3y7,VERIFIED,manual,high,manual,"Jl. Indrakila, Gn. Samarinda, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76114",18,,TRUE,TRUE,3:00,17:00,3:00,18:00,3:00,17:00
BPN-03,Selalu Teh - 38 Sepinggan,selalu-teh-sepinggan,Balikpapan,Kalimantan Timur,"Jl. Sepinggan Baru No.114, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76116",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-1.24918839,116.9036342,https://maps.app.goo.gl/zELiRYVD4UaPZ2Fc6,VERIFIED,manual,high,manual,"Jl. Sepinggan Baru No.114, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76116",18,,TRUE,TRUE,4:00,18:00,4:00,19:00,4:00,18:00
SMR-12,Selalu Teh - 39 SCP,selalu-teh-scp,Samarinda,Kalimantan Timur,"Jl. P. Irian No.1, Pelabuhan, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242",,85347731924,,paused,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.5031701821,117.1549899,https://maps.app.goo.gl/rmGTRjkqnC534Job9,VERIFIED,manual,high,manual,"Jl. P. Irian No.1, Pelabuhan, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75242",18,,TRUE,TRUE,5:00,19:00,5:00,20:00,5:00,19:00
SMR-13,Selalu Teh - 40 Jakarta,selalu-teh-jakarta,Samarinda,Kalimantan Timur,"Jl. Jakarta, Loa Bakung, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.5251893113,117.0919583,https://maps.app.goo.gl/SoPTmJCfv8NjfnwJA,VERIFIED,manual,high,manual,"Jl. Jakarta, Loa Bakung, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243",18,,TRUE,TRUE,6:00,20:00,6:00,21:00,6:00,20:00
SMR-14,Selalu Teh - 41 Gerilya,selalu-teh-gerilya,Samarinda,Kalimantan Timur,"Jl. Gerilya No.4, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75117",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4841775952,117.1748822,https://maps.app.goo.gl/uyd9H2buKbxSzT3U8,VERIFIED,manual,high,manual,"Jl. Gerilya No.4, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75117",18,,TRUE,TRUE,7:00,21:00,7:00,22:00,7:00,21:00
SMR-15,Selalu Teh - 42 Gatot Subroto,selalu-teh-gatot-subroto,Samarinda,Kalimantan Timur,"Jl. Gatot Subroto, Bandara, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4876246962,117.1538521,https://maps.app.goo.gl/9AaLT7SnZRM56wm89,VERIFIED,manual,high,manual,"Jl. Gatot Subroto, Bandara, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242",18,,TRUE,TRUE,8:00,22:00,8:00,23:00,8:00,22:00
BPN-04,Selalu Teh - 43 Marga Sari,selalu-teh-marga-sari,Balikpapan,Kalimantan Timur,"Jl. Pandan Sari, Marga Sari, Kec. Balikpapan Bar., Kota Balikpapan, Kalimantan Timur 76123",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-1.235346257,116.8250513,https://maps.app.goo.gl/doseRnzQm5XDCxbY9,VERIFIED,manual,high,manual,"Jl. Pandan Sari, Marga Sari, Kec. Balikpapan Bar., Kota Balikpapan, Kalimantan Timur 76123",18,,TRUE,TRUE,9:00,23:00,9:00,0:00,9:00,23:00
SMR-16,Selalu Teh - 44 Damanhuri,selalu-teh-damanhuri,Samarinda,Kalimantan Timur,"Jl. Damanhuri, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75117",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4730092518,117.1808188,https://maps.app.goo.gl/RVd51JF3sU3aFwgK9,VERIFIED,manual,high,manual,"Jl. Damanhuri, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75117",18,,TRUE,TRUE,10:00,0:00,10:00,1:00,10:00,0:00
SMR-17,Selalu Teh - 50 Kadrie Oening,selalu-teh-kadrie-oening,Samarinda,Kalimantan Timur,"Jl. Kadrie Oening No.32, Air Hitam, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4720519656,117.1352691,https://maps.app.goo.gl/3rRX1jTjQ9nfh64F6,VERIFIED,manual,high,manual,"Jl. Kadrie Oening No.32, Air Hitam, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243",18,,TRUE,TRUE,11:00,1:00,11:00,2:00,11:00,1:00
SMR-18,Selalu Teh - 51 Bengkuring Sempaja,selalu-teh-bengkuring-sempaja,Samarinda,Kalimantan Timur,"Jl. Bengkuring Raya No.13, RW.72, Sempaja Utara, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75119",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4262583796,117.163343,https://maps.app.goo.gl/CZSJDo9TqDWki8et9,VERIFIED,manual,high,manual,"Jl. Bengkuring Raya No.13, RW.72, Sempaja Utara, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75119",18,,TRUE,TRUE,12:00,2:00,12:00,3:00,12:00,2:00
KTB-02,Selalu Teh - 52 Kota Bangun 2,selalu-teh-kota-bangun-2,Kota Bangun,Kalimantan Timur,"Jl. Mulawarman II, Kota Bangun Ulu, Kec. Kota Bangun, Kabupaten Kutai Kartanegara, Kalimantan Timur 75561",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.2639302115,116.5844808,https://maps.app.goo.gl/UVB5NiPTgeD1D7LN6,VERIFIED,manual,high,manual,"Jl. Mulawarman II, Kota Bangun Ulu, Kec. Kota Bangun, Kabupaten Kutai Kartanegara, Kalimantan Timur 75561",18,,TRUE,TRUE,13:00,3:00,13:00,4:00,13:00,3:00
SMR-19,Selalu Teh - 53 Palaran,selalu-teh-palaran,Samarinda,Kalimantan Timur,"Jl. Trikora, Rw. Makmur, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75243",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.5607900544,117.1687574,https://maps.app.goo.gl/FPNWHaFQp7eojd766,VERIFIED,manual,high,manual,"Jl. Trikora, Rw. Makmur, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75243",18,,TRUE,TRUE,14:00,4:00,14:00,5:00,14:00,4:00
SMR-20,Selalu Teh - 54 Bung Tomo,selalu-teh-bung-tomo,Samarinda,Kalimantan Timur,"Jl. Bung Tomo No.18D, Baqa, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75131",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.5083147244,117.1431736,https://maps.app.goo.gl/rbBUa9nYENxNrFcGA,VERIFIED,manual,high,manual,"Jl. Bung Tomo No.18D, Baqa, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75131",18,,TRUE,TRUE,15:00,5:00,15:00,6:00,15:00,5:00
TGR-06,Selalu The - 57 Parikesit,selalu-the-parikesit,Tenggarong,Kalimantan Timur,"Jl. Teluk Dalam, Tenggarong Seberang, Kutai Kartanegara Regency, East Kalimantan 75511",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4390369673,117.0143348,https://maps.app.goo.gl/2unC3yCSyAUBUMjq8,VERIFIED,manual,high,manual,"Jl. Teluk Dalam, Tenggarong Seberang, Kutai Kartanegara Regency, East Kalimantan 75511",18,,TRUE,TRUE,16:00,6:00,16:00,7:00,16:00,6:00
TGR-07,Selalu Teh - 58 Timbau,selalu-teh-timbau,Tenggarong,Kalimantan Timur,"Jl. K.H. Ahmad Muksin, Timbau, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4366922573,116.9972277,https://maps.app.goo.gl/kqqNgjqoPrqdoXLi7,VERIFIED,manual,high,manual,"Jl. K.H. Ahmad Muksin, Timbau, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",18,,TRUE,TRUE,17:00,7:00,17:00,8:00,17:00,7:00
TGR-08,Selalu Teh - 61 Mangkurawang,selalu-teh-mangkurawang,Tenggarong,Kalimantan Timur,"Jl. Mangkurawang, Mangkurawang, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.3851605473,116.9896088,https://maps.app.goo.gl/rR65Apm4inAdMQ4H8,VERIFIED,manual,high,manual,"Jl. Mangkurawang, Mangkurawang, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",18,,TRUE,TRUE,18:00,8:00,18:00,9:00,18:00,8:00
TGR-09,Selalu Teh - 62 Loa Ipuh,selalu-teh-loa-ipuh,Tenggarong,Kalimantan Timur,"Jl. Loa Ipuh No.5, RT.62, Loa Ipuh, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4894894376,117.1597646,https://maps.app.goo.gl/XdQCppBvtdrFp3kM8,VERIFIED,manual,high,manual,"Jl. Loa Ipuh No.5, RT.62, Loa Ipuh, Kec. Tenggarong, Kabupaten Kutai Kartanegara, Kalimantan Timur 75513",18,,TRUE,TRUE,19:00,9:00,19:00,10:00,19:00,9:00
SMR-21,Selalu Teh - 65 Lambung Mangkurat,selalu-teh-lambung-mangkurat,Samarinda,Kalimantan Timur,"Jl. Lambung Mangkurat II, Pelita, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75242",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4893954371,117.1594414,https://maps.app.goo.gl/rQ1iSh78fNDze6XF6,VERIFIED,manual,high,manual,"Jl. Lambung Mangkurat II, Pelita, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75242",18,,TRUE,TRUE,20:00,10:00,20:00,11:00,20:00,10:00
SMR-22,Selalu Teh - 67 Makroman,selalu-teh-makroman,Samarinda,Kalimantan Timur,"Jl. Poros Propinsi - Anggana, Makroman, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75256",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.5581121312,117.2275469,https://maps.app.goo.gl/mVixCVca3Z35m2xMA,VERIFIED,manual,high,manual,"Jl. Poros Propinsi - Anggana, Makroman, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75256",18,,TRUE,TRUE,21:00,11:00,21:00,12:00,21:00,11:00
SMR-23,Selalu Teh - 71 Kemuning,selalu-teh-kemuning,Samarinda,Kalimantan Timur,"Jl. Kemuning, Loa Bakung, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75126",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4826150821,117.1266168,https://maps.app.goo.gl/sGUumvKPNhuGHzSM6,VERIFIED,manual,high,manual,"Jl. Kemuning, Loa Bakung, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75126",18,,TRUE,TRUE,22:00,12:00,22:00,13:00,22:00,12:00
SMR-24,Selalu Teh - 72 Suryanata,selalu-teh-suryanata,Samarinda,Kalimantan Timur,"Jl. P. Suryanata, Air Putih, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.4827706442,117.1266382,https://maps.app.goo.gl/JZnwPH2UHvLBBFMC7,VERIFIED,manual,high,manual,"Jl. P. Suryanata, Air Putih, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243",18,,TRUE,TRUE,23:00,13:00,23:00,14:00,23:00,13:00
SMR-25,Selalu Teh - 73 Pelita 4,selalu-teh-pelita-4,Samarinda,Kalimantan Timur,"Jl. Komp. Pelita 4, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.5058237112,117.1839642,https://maps.app.goo.gl/QZaRGV5yddo9AwGc7,VERIFIED,manual,high,manual,"Jl. Komp. Pelita 4, Sungai Pinang Dalam, Kec. Sungai Pinang, Kota Samarinda, Kalimantan Timur 75242",18,,TRUE,TRUE,0:00,14:00,0:00,15:00,0:00,14:00
BTG-01,Selalu Teh - 75 HM Ardans,selalu-teh-hm-ardans,Bontang,Kalimantan Timur,"Jl. HM Ardans, Satimpo,  Bontang ",,85347731924,,paused,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,0.1271604317,117.4756909,https://maps.app.goo.gl/bNLHw2b5wMz2dhvn6,VERIFIED,manual,high,manual,"Jl. HM Ardans, Satimpo,  Bontang ",18,,TRUE,TRUE,1:00,15:00,1:00,16:00,1:00,15:00
BTG-02,Selalu Teh - 76 Rawa Indah,selalu-teh-rawa-indah,Bontang,Kalimantan Timur,"Jl. Ir. H. Juanda, Tj. Laut Indah, Bontang",,85347731924,,paused,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,0.1219510722,117.4933899,https://maps.app.goo.gl/Ckioc8AhmDpZKT9P9,VERIFIED,manual,high,manual,"Jl. Ir. H. Juanda, Tj. Laut Indah, Bontang",18,,TRUE,TRUE,2:00,16:00,2:00,17:00,2:00,16:00
LKU-01,Selalu Teh - 78 Loa Kulu,selalu-teh-loa-kulu,Loa Kulu,Kalimantan Timur,"Jl. Jendral Sudirman, Loa Kulu Kota, Kec. Loa Kulu, Kabupaten Kutai Kartanegara, Kalimantan Timur 75571",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.5143618748,117.024297,https://maps.app.goo.gl/HHqKkoYasUcgzgXj7,VERIFIED,manual,high,manual,"Jl. Jendral Sudirman, Loa Kulu Kota, Kec. Loa Kulu, Kabupaten Kutai Kartanegara, Kalimantan Timur 75571",18,,TRUE,TRUE,3:00,17:00,3:00,18:00,3:00,17:00
SMR-26,Selalu Teh - 79 Loa Buah,selalu-teh-loa-buah,Samarinda,Kalimantan Timur,"Jl. Flamboyan, Loa Buah, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75391",,85347731924,,active,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.5552320369,117.0743566,https://maps.app.goo.gl/A3XS1ek4Xu3BFqxQ7,VERIFIED,manual,high,manual,"Jl. Flamboyan, Loa Buah, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75391",18,,TRUE,TRUE,4:00,18:00,4:00,19:00,4:00,18:00
SMR-27,Selalu Teh - 80 Selili,selalu-teh-selili,Samarinda,Kalimantan Timur,"Jl. Lumba-Lumba No.17, Selili, Kec. Samarinda Ilir, Kota Samarinda, Kalimantan Timur 75251",,85347731924,,paused,Asia/Makassar,Ridho,85347731924,mridhoda@gmail.com,-0.5117333465,117.1590313,https://maps.app.goo.gl/P3XUvDwS5QBospc78,VERIFIED,manual,high,manual,"Jl. Lumba-Lumba No.17, Selili, Kec. Samarinda Ilir, Kota Samarinda, Kalimantan Timur 75251",18,,TRUE,TRUE,5:00,19:00,5:00,20:00,5:00,19:00
